epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.624,1.23782,2.39721,3.21872,1.18329,0.53287,0.23482,0.21126,0.14028,0.59539,0.2332,0.20673,0.12077,1.16996,1.91936,2.11239,1.11177,0.000166209,0.000166209,0.000166209
2,205.814,1.18182,2.07902,2.24332,1.14667,0.47885,0.38593,0.37135,0.2371,0.46699,0.38381,0.36438,0.20797,1.16396,1.78751,1.82214,1.11454,0.00032346,0.00032346,0.00032346
3,305.243,1.17113,2.00592,1.98275,1.13747,0.59396,0.42465,0.45316,0.29831,0.60734,0.41825,0.44914,0.25442,1.15861,1.7901,1.79892,1.11859,0.000471282,0.000471282,0.000471282
4,410.93,1.13613,1.94407,1.74771,1.12333,0.6948,0.47588,0.53643,0.35751,0.69889,0.47157,0.52832,0.31445,1.11891,1.70581,1.43239,1.08658,0.000457571,0.000457571,0.000457571
5,527.695,1.10583,1.90311,1.57482,1.11,0.59514,0.58367,0.61056,0.40397,0.59608,0.57525,0.59761,0.34752,1.04544,1.56794,1.30279,1.05639,0.000443429,0.000443429,0.000443429
6,626.162,1.08402,1.83624,1.45308,1.09563,0.69715,0.59874,0.64198,0.43042,0.70013,0.5884,0.63185,0.37324,1.04488,1.53228,1.2122,1.04338,0.000429286,0.000429286,0.000429286
7,723.864,1.05459,1.79948,1.34569,1.08307,0.73805,0.5767,0.65533,0.45125,0.73385,0.57324,0.6453,0.39085,0.99646,1.49443,1.15045,1.01813,0.000415143,0.000415143,0.000415143
8,824.308,1.03346,1.73324,1.26357,1.07338,0.73755,0.65937,0.72544,0.50555,0.72883,0.65269,0.71159,0.42797,0.9562,1.44587,1.0366,0.99555,0.000401,0.000401,0.000401
9,922.05,1.01137,1.72531,1.20209,1.05791,0.76052,0.66275,0.74074,0.52141,0.75252,0.65485,0.72221,0.44322,0.93957,1.41787,1.00249,0.98342,0.000386857,0.000386857,0.000386857
10,1018.94,1.00099,1.70301,1.15415,1.05438,0.76849,0.70182,0.75797,0.53136,0.75594,0.68677,0.73413,0.44263,0.92967,1.42719,0.93537,0.97084,0.000372714,0.000372714,0.000372714
11,1115.11,0.98319,1.67412,1.11146,1.04748,0.78962,0.70265,0.78083,0.55123,0.78485,0.69782,0.7708,0.47223,0.93469,1.35951,0.90821,0.97769,0.000358571,0.000358571,0.000358571
12,1210.99,0.9614,1.64357,1.05377,1.03626,0.80213,0.72477,0.79913,0.57154,0.81486,0.71176,0.78585,0.48941,0.90544,1.35206,0.85275,0.96233,0.000344429,0.000344429,0.000344429
13,1305.37,0.93994,1.61074,1.01163,1.02474,0.79046,0.74413,0.80059,0.57994,0.78458,0.73618,0.78937,0.49392,0.88166,1.333,0.81733,0.94964,0.000330286,0.000330286,0.000330286
14,1399.06,0.9385,1.59904,0.99083,1.0224,0.82188,0.73942,0.81026,0.58238,0.8126,0.72671,0.79146,0.49467,0.87777,1.32232,0.80578,0.94974,0.000316143,0.000316143,0.000316143
15,1492.29,0.93941,1.58865,0.97062,1.026,0.82882,0.75946,0.83438,0.60777,0.82205,0.75213,0.81808,0.51584,0.8665,1.28642,0.77054,0.9405,0.000302,0.000302,0.000302
16,1591.47,0.91383,1.55418,0.92737,1.01341,0.84408,0.78238,0.85274,0.61449,0.84114,0.77107,0.83619,0.51076,0.85802,1.28284,0.75123,0.93687,0.000287857,0.000287857,0.000287857
17,1770.56,0.92512,1.57208,0.92256,1.01555,0.85238,0.7779,0.85776,0.61906,0.83358,0.77481,0.83609,0.51982,0.84358,1.25575,0.71078,0.92341,0.000273714,0.000273714,0.000273714
18,1895.85,0.90035,1.51898,0.88115,1.00856,0.83531,0.80004,0.8624,0.63299,0.8269,0.78881,0.8497,0.53436,0.8306,1.24858,0.69577,0.9241,0.000259571,0.000259571,0.000259571
19,1998.78,0.8919,1.51829,0.86632,1.0027,0.84266,0.813,0.87243,0.63684,0.84199,0.79948,0.85778,0.53867,0.8302,1.22753,0.68577,0.92203,0.000245429,0.000245429,0.000245429
20,2115.7,0.88409,1.50341,0.84551,0.99946,0.86457,0.80676,0.87494,0.64642,0.85923,0.80209,0.86231,0.54521,0.81242,1.23866,0.668,0.91505,0.000231286,0.000231286,0.000231286
21,2214.72,0.87534,1.49787,0.8358,0.99862,0.87273,0.82632,0.88892,0.65733,0.86476,0.81375,0.87215,0.55109,0.80637,1.21685,0.64481,0.9107,0.000217143,0.000217143,0.000217143
22,2312.33,0.87416,1.4755,0.82049,0.99445,0.86455,0.82164,0.88457,0.66132,0.86236,0.81527,0.87288,0.54697,0.80456,1.20874,0.64734,0.90902,0.000203,0.000203,0.000203
23,2408.72,0.85559,1.46307,0.80674,0.98657,0.83719,0.84105,0.89537,0.67158,0.82717,0.82812,0.8762,0.55972,0.78776,1.18901,0.62634,0.90489,0.000188857,0.000188857,0.000188857
24,2504.79,0.85295,1.4334,0.77969,0.98913,0.89032,0.83655,0.90098,0.673,0.88472,0.82991,0.88719,0.56603,0.7727,1.17472,0.61454,0.89974,0.000174714,0.000174714,0.000174714
25,2600.67,0.84745,1.44096,0.77454,0.98914,0.88053,0.83577,0.90615,0.68213,0.86728,0.82278,0.88412,0.56955,0.76496,1.16749,0.60422,0.89436,0.000160571,0.000160571,0.000160571
26,2714.46,0.82621,1.37141,0.7018,0.97548,0.88962,0.83938,0.90778,0.67855,0.879,0.8282,0.88778,0.56782,0.77475,1.16874,0.59617,0.89849,0.000146429,0.000146429,0.000146429
27,2808.62,0.8097,1.33919,0.65713,0.97001,0.88532,0.84574,0.91592,0.68854,0.87717,0.83566,0.89751,0.57539,0.77062,1.15306,0.58597,0.89638,0.000132286,0.000132286,0.000132286
28,2902.95,0.79595,1.32206,0.64012,0.95994,0.87308,0.86244,0.91654,0.68748,0.86557,0.85297,0.89997,0.57859,0.76248,1.14383,0.5751,0.88989,0.000118143,0.000118143,0.000118143
29,3001.91,0.79085,1.31166,0.62709,0.96006,0.89174,0.87052,0.92522,0.70214,0.87863,0.85902,0.90261,0.58285,0.74528,1.13328,0.55643,0.88548,0.000104,0.000104,0.000104
30,3109.94,0.77242,1.28932,0.61719,0.95052,0.90006,0.86943,0.92743,0.70777,0.89303,0.85834,0.91201,0.59069,0.73755,1.12386,0.5458,0.88142,8.98571e-05,8.98571e-05,8.98571e-05
31,3204.99,0.7682,1.28039,0.59709,0.94909,0.89411,0.87843,0.93007,0.71291,0.88193,0.87017,0.91281,0.59297,0.73071,1.11451,0.53645,0.87625,7.57143e-05,7.57143e-05,7.57143e-05
32,3299.61,0.75698,1.26741,0.58412,0.94504,0.90769,0.87878,0.93532,0.71994,0.89334,0.86984,0.9127,0.59669,0.71911,1.10131,0.52539,0.87531,6.15714e-05,6.15714e-05,6.15714e-05
33,3394.87,0.74646,1.26135,0.57681,0.94264,0.90975,0.88287,0.93797,0.7246,0.89856,0.872,0.91843,0.60429,0.71091,1.09235,0.516,0.86989,4.74286e-05,4.74286e-05,4.74286e-05
34,3489.09,0.73501,1.2433,0.56181,0.93502,0.90549,0.88356,0.93709,0.72369,0.89349,0.87357,0.91651,0.60187,0.70813,1.08872,0.51159,0.86989,3.32857e-05,3.32857e-05,3.32857e-05
35,3583.83,0.72849,1.25059,0.55267,0.93761,0.91618,0.88462,0.93964,0.72947,0.90487,0.87447,0.92123,0.60623,0.7002,1.08215,0.50181,0.867,1.91429e-05,1.91429e-05,1.91429e-05
